Op,abs,absx,absy,immediate,implied,impliedA,impliedX,impliedY,zp,zpi,zpiy,zpx,zpxi,zpy
ADC,6D,7D,79,69,  ,  ,  ,  ,65,72,71,75,61,  
AND,2D,3D,39,29,  ,  ,  ,  ,25,32,31,35,21,  
ASL,0E,1E,  ,  ,  ,0A,  ,  ,06,  ,  ,16,  ,  
BIT,2C,3C,  ,89,  ,  ,  ,  ,24,  ,  ,34,  ,  
BRK,  ,  ,  ,  ,00,  ,  ,  ,  ,  ,  ,  ,  ,  
CLC,  ,  ,  ,  ,18,  ,  ,  ,  ,  ,  ,  ,  ,  
CLD,  ,  ,  ,  ,D8,  ,  ,  ,  ,  ,  ,  ,  ,  
CLI,  ,  ,  ,  ,58,  ,  ,  ,  ,  ,  ,  ,  ,  
CLV,  ,  ,  ,  ,B8,  ,  ,  ,  ,  ,  ,  ,  ,  
CMP,CD,DD,D9,C9,  ,  ,  ,  ,C5,D2,D1,D5,C1,  
CPX,EC,  ,  ,E0,  ,  ,  ,  ,E4,  ,  ,  ,  ,  
CPY,CC,  ,  ,C0,  ,  ,  ,  ,C4,  ,  ,  ,  ,  
DEC,CE,DE,  ,  ,  ,3A,CA,88,C6,  ,  ,D6,  ,  
EOR,4D,5D,59,49,  ,  ,  ,  ,45,52,51,55,41,  
INC,EE,FE,  ,  ,  ,1A,E8,C8,E6,  ,  ,F6,  ,  
LDA,AD,BD,B9,A9,  ,  ,  ,  ,A5,B2,B1,B5,A1,  
LDX,AE,  ,BE,A2,  ,  ,  ,  ,A6,  ,  ,  ,  ,B6
LDY,AC,BC,  ,A0,  ,  ,  ,  ,A4,  ,  ,B4,  ,  
LSR,4E,5E,  ,  ,  ,4A,  ,  ,46,  ,  ,56,  ,  
ORA,0D,1D,19,09,  ,  ,  ,  ,05,12,11,15,01,  
PHA,  ,  ,  ,  ,48,  ,  ,  ,  ,  ,  ,  ,  ,  
PHP,  ,  ,  ,  ,08,  ,  ,  ,  ,  ,  ,  ,  ,  
PHX,  ,  ,  ,  ,DA,  ,  ,  ,  ,  ,  ,  ,  ,  
PHY,  ,  ,  ,  ,5A,  ,  ,  ,  ,  ,  ,  ,  ,  
PLA,  ,  ,  ,  ,68,  ,  ,  ,  ,  ,  ,  ,  ,  
PLP,  ,  ,  ,  ,28,  ,  ,  ,  ,  ,  ,  ,  ,  
PLX,  ,  ,  ,  ,FA,  ,  ,  ,  ,  ,  ,  ,  ,  
PLY,  ,  ,  ,  ,7A,  ,  ,  ,  ,  ,  ,  ,  ,  
ROL,2E,3E,  ,  ,  ,2A,  ,  ,26,  ,  ,36,  ,  
ROR,6E,7E,  ,  ,  ,6A,  ,  ,66,  ,  ,76,  ,  
RTI,  ,  ,  ,  ,40,  ,  ,  ,  ,  ,  ,  ,  ,  
RTS,  ,  ,  ,  ,60,  ,  ,  ,  ,  ,  ,  ,  ,  
SBC,ED,FD,F9,E9,  ,  ,  ,  ,E5,F2,F1,F5,E1,  
SEC,  ,  ,  ,  ,38,  ,  ,  ,  ,  ,  ,  ,  ,  
SED,  ,  ,  ,  ,F8,  ,  ,  ,  ,  ,  ,  ,  ,  
SEI,  ,  ,  ,  ,78,  ,  ,  ,  ,  ,  ,  ,  ,  
STA,8D,9D,99,  ,  ,  ,  ,  ,85,92,91,95,81,  
STP,  ,  ,  ,  ,DB,  ,  ,  ,  ,  ,  ,  ,  ,  
STX,8E,  ,  ,  ,  ,  ,  ,  ,86,  ,  ,  ,  ,96
STY,8C,  ,  ,  ,  ,  ,  ,  ,84,  ,  ,94,  ,  
STZ,9C,9E,  ,  ,  ,  ,  ,  ,64,  ,  ,74,  ,  
TAX,  ,  ,  ,  ,AA,  ,  ,  ,  ,  ,  ,  ,  ,  
TAY,  ,  ,  ,  ,A8,  ,  ,  ,  ,  ,  ,  ,  ,  
TRB,1C,  ,  ,  ,  ,  ,  ,  ,14,  ,  ,  ,  ,  
TSB,0C,  ,  ,  ,  ,  ,  ,  ,04,  ,  ,  ,  ,  
TSX,  ,  ,  ,  ,BA,  ,  ,  ,  ,  ,  ,  ,  ,  
TXA,  ,  ,  ,  ,8A,  ,  ,  ,  ,  ,  ,  ,  ,  
TXS,  ,  ,  ,  ,9A,  ,  ,  ,  ,  ,  ,  ,  ,  
TYA,  ,  ,  ,  ,98,  ,  ,  ,  ,  ,  ,  ,  ,  
WAI,  ,  ,  ,  ,CB,  ,  ,  ,  ,  ,  ,  ,  ,  
NOP,5C/DC/FC,  ,  ,02/22/42/62/82/C2/E2,03/0B/13/1B/23/2B/33/3B/43/4B/53/5B/63/6B/73/7B/83/8B/93/9B/A3/AB/B3/BB/C3/D3/E3/EA/EB/F3/FB,  ,  ,  ,44,  ,  ,54/D4/F4,  ,  
